Organ	Major Cluster	v2_annotation	Cell type suggested
Seedlings_3d	12	"Protoxylem, Shoot xylem"	"Protoxylem, Shoot xylem"
Seedlings_3d	13	Root Phloem	Root Phloem
Seedlings_3d	14	Endodermis	Endodermal
Seedlings_3d	15	Root Vascular	Root Vascular
Seedlings_3d	16	"Dividing, Meristem (Root and Shoot), Trichome development (GL2), Procambium_PP"	Trichome development
Seedlings_3d	17	Trichoblast	Trichoblast
Seedlings_6d	0	"Epidermis (FDH, CER5, ML1)"	Epidermal
Seedlings_6d	1	Palisade Mesophyll (CYP90A1)	Palisade Mesophyll
Seedlings_6d	2	Abaxial epidermis (AT4G21910)	Abaxial epidermal
Seedlings_6d	3	"Epidermis, Mesophyll (CAB3)"	Mesophyll
Seedlings_6d	4	Dividing	Dividing
Seedlings_6d	5	Mesophyll	Mesophyll
Seedlings_6d	6	Phloem (Shoot and root)	Phloem
Seedlings_6d	7	"Phloem (MAM1, BCAT4)"	Phloem
Seedlings_6d	8	"Adaxial epidermis (AXR3), Atrichoblast"	"Adaxial epidermal, Atrichoblast"
Seedlings_6d	9	Trichome (AGL16)	Trichome
Seedlings_6d	10	"Epidermis (root and shoot), Procambium_PP"	Epidermal
Seedlings_6d	11	"Protoxylem (root), Xylem (XCP1, ACL5; shoot)"	Xylem
Seedlings_6d	12	"Palisade Mesophyll (CYP90A1), Dividing (MET1, HMGB6)"	Palisade Mesophyll
Seedlings_6d	13	Maturation_Atrichoblast	Atrichoblast
Seedlings_6d	14	Abaxial epidermis (AT4G21910)	Abaxial epidermal
Seedlings_6d	15	"Epidermis (root and shoot), Trichome"	Epidermal (root and shoot)
Seedlings_6d	16	"Dividing Epidermis (FDH, CER5, ML1), SAM"	SAM
Seedlings_6d	17	"Casparian strip, Endodermis"	"Casparian strip, Endodermis"
Seedlings_6d	18	"Root Columella and Distal Columella, Distal Lateral Root Cap, meristem"	Root meristem
Seedlings_6d	19	"Guard (FAMA, MPK9)"	Guard
Silique	0	Younger silique identity (YUC3)	Younger silique identity
Silique	1	"Replum, Phloem (SUC2)"	Phloem
Silique	2	"Phloem, Xylem"	Vascular
Silique	3	"Xylem parenchyma, Phloem"	Vascular
Silique	4	"Dividing, Pedicel (basal), Epidermis, Xylem, Mature silique"	Dividing
Silique	5	"Pedicel, Trichome, Xylem (XCP1)"	Xylem
Silique	6	Embryo	Embryo
Silique	7	Trichome development (GL2)	Trichome development
Silique	8	"Endosperm (RGP3), Phloem"	Endosperm
Silique	9	"Epidermis (FDH), Phloem parenchyma"	Epidermal
Silique	10	"Epidermis (AT1G04040), Phloem (GWD2), Mature trichome"	Epidermal
Silique	11	Xylem parenchyma	Xylem
Silique	12	Vascular	Vascular
Silique	13	"Epidermis, Bundle sheath, Dividing (MET1)"	Dividing
Silique	14	"Tip, Dividing (MET1), Phloem (SUC2)"	Phloem
Silique	15	Phloem	Phloem
Silique	16	"Guard (FAMA, TGG1)"	Guard
Silique	17	Endosperm (RGP3)	Endosperm
Silique	18	"Tip, Phloem (SUC2)"	Phloem
Silique	19	"Early development stage, Dividing (MET1)"	Dividing (MET1)
Silique	20	"Early development stage, Phloem, Replum, septum, pedicel, valves"	Phloem
Silique	21	"Pod of young silique, Phloem"	Phloem
Silique	22	"Phloem parenchyma, Early development stage seed"	Phloem
Silique	23	Early development stage seed	Early development stage seed
Silique	24	"Pod of young silique, Phloem"	Phloem
Silique	25	Mature silique	Mature silique
Silique	26	Mature silique	Mature silique
Stem	0	Unannotated	Unannotated
Stem	1	Unannotated	Unannotated
Stem	2	Unannotated	Unannotated
Stem	3	Xylem (ACL5)	Xylem
Stem	4	Trichome development (GL2)	Trichome development
Stem	5	Guard (FAMA)	Guard
Stem	6	"Epidermis (AT1G09310), Guard (FAMA), Trichome"	Guard
Stem	7	Unannotated	Unannotated
Stem	8	Xylem (XCP1)	Xylem
Stem	9	Vascular	Vascular
Stem	10	Epidermis (FDH)	Epidermal
Stem	11	"Palisade mesophyll (IQD22), Dividing (MET1)"	Palisade mesophyll
Stem	12	"Epidermis (FDH), Adaxial, Trichome development (GL2)"	Trichome development
Stem	13	Procambium_PP	Procambium_PP
Stem	14	Vascular (NAKR1)	Vascular
Stem	15	Unannotated	Unannotated
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
